"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC"
"C1,C4,C7","4.7uF","~","Capacitor_SMD:C_0402_1005Metric","3","","C23733"
"C2,C3,C5,C6","0.1uF","~","Capacitor_SMD:C_0402_1005Metric","4","","C307331"
"D1","TX","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0603G1_C84267.pdf","LED_SMD:LED_0402_1005Metric","1","DNP","C130723"
"D2","RX","","LED_SMD:LED_0402_1005Metric","1","DNP","C130719"
"J1","UPS","~","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1","","C19271370"
"J2","USB Type-B","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588892898368622592","Connector_USB:USB_B_Lumberg_2411_02_Horizontal","1","","C720549"
"R1","22.1K","~","Resistor_SMD:R_0402_1005Metric","1","","C43473"
"R2","47.5K","~","Resistor_SMD:R_0402_1005Metric","1","","C25896"
"R3","1K","~","Resistor_SMD:R_0402_1005Metric","1","","C11702"
"R4,R5","1K","~","Resistor_SMD:R_0402_1005Metric","2","DNP","C11702"
"U1","ADUM1201AR","https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM1200_1201.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","C9669"
"U2","USBLC6-2P6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","Package_TO_SOT_SMD:SOT-666","1","","C2827693"
"U3","CP2102N-A01-GQFN28","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","1","","C1550553"
